Quantity,UnitPrice,OrderStatus,ItemsInCart,TotalPrice,Year,Month,DayOfWeek,IsWeekend,RevenuePerCartItem,OrderStatus_encoded,Product_Chair,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Cash,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,ReferralSource_Email,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral,CouponCode_FREESHIP,CouponCode_SAVE10,CouponCode_WINTER15,RevenueIntensityScore,PriceDeviation,SpendTier
2.0,230.95,Delivered,3.0,461.9,2024,10,2,0,153.96666666666667,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,76.98333333333333,-126.75705202312139,0
1.0,399.98,Delivered,3.0,399.98,2024,7,2,0,133.32666666666668,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,133.32666666666668,41.31638036809818,0
5.0,59.55,Delivered,6.0,297.75,2024,3,2,0,49.625,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,9.925,-298.15705202312137,0
1.0,472.74,Shipped,6.0,472.74,2024,2,3,0,78.79,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,78.79,121.02508287292818,0
4.0,160.07,Pending,5.0,640.28,2023,11,1,0,128.05599999999998,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,32.013999999999996,-215.1475641025641,0
3.0,423.53,Delivered,6.0,1270.59,2024,9,4,0,211.765,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,70.58833333333332,93.92188235294117,1
2.0,426.7,Pending,5.0,853.4,2025,3,5,1,170.68,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,85.34,68.03638036809815,1
3.0,500.08,Returned,6.0,1500.24,2023,6,4,0,250.04,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,83.34666666666666,144.41971910112358,1
5.0,536.72,Delivered,10.0,2683.6,2023,5,0,0,268.36,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,53.672,169.04089385474862,3
1.0,162.77,Cancelled,4.0,162.77,2023,6,0,0,40.6925,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,40.6925,-192.8902808988764,0
4.0,576.52,Pending,5.0,2306.08,2023,1,5,1,461.216,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,115.304,220.85971910112357,2
2.0,465.15,Shipped,2.0,930.3,2024,12,5,1,465.15,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,232.575,106.48638036809814,1
2.0,534.43,Pending,5.0,1068.86,2025,5,3,0,213.772,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,106.886,176.72294797687857,1
2.0,76.74,Returned,7.0,153.48,2024,10,0,0,21.925714285714285,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,10.962857142857143,-280.96705202312137,0
1.0,245.89,Delivered,3.0,245.89,2024,12,3,0,81.96333333333332,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,81.96333333333332,-111.81705202312139,0
3.0,256.46,Delivered,4.0,769.3799999999999,2025,2,3,0,192.34499999999997,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,64.115,-95.25491712707185,0
2.0,344.02,Delivered,4.0,688.04,2023,8,6,1,172.01,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,86.005,14.411882352941177,0
3.0,611.45,Pending,4.0,1834.35,2023,12,1,0,458.5875,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,152.86249999999998,252.7863803680982,2
2.0,151.66,Cancelled,6.0,303.32,2024,5,0,0,50.553333333333335,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,25.276666666666667,-200.05491712707183,0
3.0,499.21,Cancelled,8.0,1497.63,2023,12,3,0,187.20375,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,62.401250000000005,143.54971910112357,1
2.0,550.18,Returned,3.0,1100.36,2025,4,0,0,366.78666666666663,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,183.39333333333332,174.96243589743585,1
1.0,317.25,Returned,1.0,317.25,2024,2,5,1,317.25,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,317.25,-38.41028089887641,0
4.0,550.14,Pending,4.0,2200.56,2024,6,2,0,550.14,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,137.535,191.47638036809815,2
2.0,209.94,Returned,3.0,419.88,2023,7,2,0,139.96,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,69.98,-119.6681176470588,0
2.0,80.77,Shipped,4.0,161.54,2023,8,5,1,40.385,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,20.1925,-277.89361963190186,0
1.0,30.44,Shipped,1.0,30.44,2023,10,5,1,30.44,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,30.44,-321.27491712707183,0
1.0,179.22,Cancelled,6.0,179.22,2023,7,0,0,29.87,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,29.87,-188.4591061452514,0
1.0,388.33,Returned,2.0,388.33,2024,12,0,0,194.165,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,194.165,20.650893854748574,0
1.0,586.44,Returned,5.0,586.44,2024,9,6,1,117.28800000000001,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,117.28800000000001,218.76089385474864,0
4.0,488.78,Returned,5.0,1955.12,2024,5,5,1,391.024,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,97.756,113.56243589743588,2
1.0,280.25,Pending,5.0,280.25,2025,3,3,0,56.05,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,56.05,-75.41028089887641,0
3.0,344.4,Cancelled,3.0,1033.2,2025,6,1,0,344.40000000000003,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,114.80000000000001,-7.314917127071851,1
3.0,479.21,Cancelled,5.0,1437.63,2023,5,6,1,287.526,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,95.84200000000001,111.53089385474857,1
5.0,314.27,Returned,6.0,1571.35,2023,1,6,1,261.89166666666665,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,52.37833333333333,-37.44491712707185,1
4.0,474.69,Cancelled,6.0,1898.76,2023,1,6,1,316.46,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,79.115,99.4724358974359,2
4.0,593.27,Shipped,5.0,2373.08,2024,9,2,0,474.616,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,118.654,237.60971910112357,2
1.0,417.1,Returned,3.0,417.1,2024,8,2,0,139.03333333333333,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,139.03333333333333,87.49188235294122,0
4.0,122.2,Delivered,7.0,488.8,2024,3,6,1,69.82857142857144,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,17.45714285714286,-207.40811764705882,0
2.0,43.15,Pending,3.0,86.3,2023,8,1,0,28.766666666666666,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,14.383333333333333,-286.4581176470588,0
1.0,564.86,Shipped,6.0,564.86,2025,2,6,1,94.14333333333333,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,94.14333333333333,209.1997191011236,0
3.0,130.61,Cancelled,4.0,391.83,2025,6,2,0,97.9575,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,32.652499999999996,-221.10491712707181,0
5.0,81.7,Delivered,6.0,408.5,2023,12,5,1,68.08333333333333,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,13.616666666666667,-276.96361963190185,0
5.0,127.18,Cancelled,9.0,635.9000000000001,2024,11,4,0,70.65555555555557,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,14.131111111111114,-228.4802808988764,0
4.0,12.1,Cancelled,8.0,48.4,2024,12,0,0,6.05,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1.5125,-339.6149171270718,0
3.0,490.92,Pending,5.0,1472.76,2023,12,0,0,294.552,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,98.184,135.2597191011236,1
3.0,478.65,Shipped,4.0,1435.95,2023,5,3,0,358.9875,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,119.66250000000001,119.98638036809814,1
1.0,629.21,Pending,2.0,629.21,2023,5,4,0,314.605,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,314.605,299.60188235294123,0
3.0,434.45,Pending,4.0,1303.35,2025,6,1,0,325.8375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,108.6125,75.78638036809815,1
4.0,589.44,Returned,5.0,2357.76,2024,12,6,1,471.552,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,117.888,221.76089385474864,2
4.0,433.45,Cancelled,4.0,1733.8,2023,5,2,0,433.45,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,108.3625,74.78638036809815,2
5.0,90.87,Pending,5.0,454.35,2023,6,5,1,90.87,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,18.174,-284.3475641025641,0
3.0,398.17,Delivered,5.0,1194.51,2023,9,1,0,238.902,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,79.634,30.490893854748606,1
4.0,382.88,Cancelled,6.0,1531.52,2024,3,6,1,255.25333333333333,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,63.81333333333333,25.172947976878618,1
1.0,583.18,Returned,5.0,583.18,2024,5,4,0,116.636,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,116.636,207.96243589743585,0
4.0,175.36,Delivered,4.0,701.44,2024,8,1,0,175.36,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,43.84,-176.35491712707181,0
2.0,311.91,Shipped,2.0,623.82,2025,3,0,0,311.91,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,155.955,-55.769106145251385,0
3.0,589.56,Returned,6.0,1768.68,2023,6,1,0,294.78000000000003,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,98.26,214.34243589743585,2
2.0,394.3,Shipped,6.0,788.6,2023,6,3,0,131.43333333333334,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,65.71666666666667,35.63638036809817,0
4.0,565.2,Shipped,9.0,2260.8,2024,1,4,0,251.20000000000002,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,62.800000000000004,197.52089385474864,2
4.0,540.41,Cancelled,6.0,2161.64,2023,8,1,0,360.2733333333333,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,90.06833333333333,182.7029479768786,2
2.0,165.49,Shipped,4.0,330.98,2023,8,0,0,82.745,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,41.3725,-193.17361963190183,0
3.0,146.73,Delivered,8.0,440.1899999999999,2024,9,0,0,55.023749999999986,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,18.341249999999995,-220.94910614525142,0
5.0,643.03,Cancelled,5.0,3215.15,2024,6,2,0,643.03,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,128.606,291.31508287292814,3
3.0,225.11,Shipped,4.0,675.33,2024,10,3,0,168.8325,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,56.2775,-142.5691061452514,0
3.0,114.81,Cancelled,7.0,344.43,2025,6,3,0,49.20428571428572,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,16.40142857142857,-214.7981176470588,0
5.0,455.33,Cancelled,8.0,2276.65,2025,2,1,0,284.58125,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,56.916250000000005,103.61508287292816,2
4.0,182.08,Delivered,4.0,728.32,2023,9,0,0,182.08,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,45.52,-173.5802808988764,0
5.0,492.75,Shipped,6.0,2463.75,2023,3,2,0,410.625,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,82.125,135.04294797687862,2
4.0,48.61,Shipped,7.0,194.44,2024,6,0,0,27.777142857142856,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6.944285714285714,-303.1049171270718,0
4.0,431.01,Returned,7.0,1724.04,2023,1,5,1,246.29142857142855,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,61.57285714285714,101.40188235294119,2
1.0,531.18,Returned,6.0,531.18,2023,2,5,1,88.52999999999999,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,88.52999999999999,175.51971910112354,0
4.0,117.51,Returned,7.0,470.04,2023,3,4,0,67.14857142857143,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,16.787142857142857,-234.20491712707184,0
2.0,232.83,Delivered,7.0,465.66,2024,6,5,1,66.52285714285715,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,33.261428571428574,-142.38756410256408,0
5.0,619.52,Pending,9.0,3097.6,2025,1,1,0,344.17777777777775,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,68.83555555555556,251.84089385474857,3
2.0,228.54,Pending,3.0,457.08,2023,1,5,1,152.35999999999999,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,76.17999999999999,-123.17491712707184,0
1.0,201.58,Cancelled,2.0,201.58,2025,4,5,1,100.79,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,100.79,-150.13491712707182,0
3.0,664.79,Delivered,6.0,1994.37,2023,2,4,0,332.395,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,110.79833333333333,289.57243589743587,2
1.0,381.02,Shipped,6.0,381.02,2023,11,5,1,63.50333333333333,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,63.50333333333333,29.305082872928153,0
2.0,70.34,Cancelled,3.0,140.68,2023,3,2,0,46.89333333333334,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,23.44666666666667,-287.36705202312135,0
4.0,218.43,Cancelled,9.0,873.72,2025,1,5,1,97.08,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,24.27,-156.7875641025641,1
1.0,582.04,Delivered,1.0,582.04,2024,7,1,0,582.04,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,582.04,206.82243589743587,0
3.0,185.4,Cancelled,7.0,556.2,2024,10,3,0,79.45714285714287,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,26.485714285714288,-166.31491712707182,0
3.0,465.05,Cancelled,3.0,1395.15,2023,9,4,0,465.05,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,155.01666666666668,135.4418823529412,1
5.0,670.75,Shipped,8.0,3330.4075,2023,3,0,0,416.3009375,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,83.2601875,319.0350828729282,3
5.0,48.38,Delivered,9.0,241.9,2024,12,5,1,26.87777777777778,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5.375555555555556,-309.3270520231214,0
3.0,592.87,Shipped,3.0,1778.61,2023,9,6,1,592.87,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,197.62333333333333,263.2618823529412,2
1.0,220.77,Pending,5.0,220.77,2024,4,6,1,44.154,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,44.154,-146.9091061452514,0
3.0,309.22,Cancelled,7.0,927.6600000000001,2025,5,2,0,132.52285714285716,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,44.174285714285716,-20.388117647058777,1
1.0,410.6,Cancelled,2.0,410.6,2023,1,6,1,205.3,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,205.3,51.936380368098185,0
5.0,190.08,Shipped,9.0,950.4000000000001,2024,1,2,0,105.60000000000001,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,21.12,-167.62705202312137,1
5.0,498.48,Pending,8.0,2492.4,2025,1,0,0,311.55,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,62.31,139.81638036809818,2
5.0,374.99,Shipped,9.0,1874.95,2023,11,0,0,208.32777777777778,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,41.66555555555556,-0.227564102564088,2
4.0,291.35,Cancelled,6.0,1165.4,2023,3,6,1,194.23333333333335,4,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,48.55833333333334,-60.364917127071806,1
1.0,535.5,Cancelled,5.0,535.5,2023,3,2,0,107.1,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,107.1,167.8208938547486,0
5.0,502.71,Shipped,7.0,2513.55,2023,10,0,0,359.0785714285715,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,71.8157142857143,150.99508287292815,3
2.0,534.67,Shipped,7.0,1069.34,2025,6,2,0,152.76285714285714,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,76.38142857142857,205.06188235294115,1
4.0,629.34,Cancelled,4.0,2517.36,2023,4,1,0,629.34,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,157.335,261.6608938547486,3
1.0,410.78,Cancelled,1.0,410.78,2023,11,3,0,410.78,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,410.78,81.17188235294117,0
2.0,533.02,Shipped,2.0,1066.04,2024,4,0,0,533.02,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,266.51,175.3129479768786,1
3.0,278.04,Delivered,5.0,834.1200000000001,2023,7,3,0,166.824,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,55.60800000000001,-51.568117647058784,0
4.0,283.79,Pending,8.0,1135.16,2024,7,6,1,141.895,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,35.47375,-67.92491712707181,1
2.0,512.65,Shipped,5.0,1025.3,2024,11,2,0,205.06,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,102.53,137.43243589743588,1
4.0,275.5,Shipped,8.0,1102.0,2025,5,5,1,137.75,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,34.4375,-54.108117647058805,1
3.0,469.32,Shipped,3.0,1407.96,2023,8,3,0,469.32,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,156.44,139.7118823529412,1
4.0,21.07,Delivered,4.0,84.28,2023,2,4,0,21.07,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,5.2675,-346.6091061452514,0
4.0,263.93,Shipped,4.0,1055.72,2023,10,4,0,263.93,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,65.9825,-93.77705202312137,1
3.0,501.3,Cancelled,3.0,1503.9,2025,1,2,0,501.3,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,167.10000000000002,171.6918823529412,1
1.0,84.8,Pending,5.0,84.8,2023,1,6,1,16.96,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,16.96,-282.8791061452514,0
4.0,450.75,Shipped,6.0,1803.0,2023,3,1,0,300.5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,75.125,83.07089385474859,2
4.0,302.05,Cancelled,6.0,1208.2,2025,6,4,0,201.36666666666667,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,50.34166666666667,-53.6102808988764,1
2.0,199.7,Pending,4.0,399.4,2025,6,0,0,99.85,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,49.925,-158.0070520231214,0
2.0,68.81,Shipped,5.0,137.62,2023,8,4,0,27.524,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,13.762,-282.9049171270718,0
1.0,44.35,Cancelled,1.0,44.35,2024,4,5,1,44.35,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,44.35,-313.35705202312135,0
2.0,250.98,Delivered,5.0,501.96,2024,11,1,0,100.392,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,50.196,-107.68361963190185,0
1.0,298.06,Pending,3.0,298.06,2023,12,3,0,99.35333333333334,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,99.35333333333334,-69.61910614525141,0
1.0,583.9,Returned,1.0,583.9,2023,4,0,0,583.9,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,583.9,208.68243589743588,0
3.0,528.14,Delivered,3.0,1584.42,2025,5,5,1,528.14,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,176.04666666666668,172.47971910112358,1
